Date,Rainfall (mm),Level (Metres),E Conduct. (us/cm),Water Temp (Deg. C),pH (pH units),Turbidity (NTU),Number of fish
00:00:00 01/01/2010,0,0.853,1196,26.8,4.7,130.58333,4
00:00:00 02/01/2010,0,0.737,1070,27.4,4.8,248.29167,0
00:00:00 03/01/2010,0,0.64,1081,28.7,4.7,163.33333,0
00:00:00 04/01/2010,0,0.571,1091,28.3,4.7,192.83333,3
00:00:00 05/01/2010,7,0.531,1138,27.5,4.8,246.04167,0
00:00:00 06/01/2010,5,0.505,1202,27.2,4.9,206.58333,0
00:00:00 07/01/2010,15,0.524,1562,26.7,5.9,202.33333,0
00:00:00 08/01/2010,5,0.584,1596,26,5.8,174.16667,0
00:00:00 09/01/2010,0,0.789,2127,27.3,4.4,435.20833,2
00:00:00 10/01/2010,0,0.742,1831,27.9,5.1,275.25,1
00:00:00 11/01/2010,0,0.646,1638,28.2,5.4,270.79167,0
00:00:00 12/01/2010,0,0.589,1654,28.3,5.3,184.54167,0
00:00:00 13/01/2010,0,0.537,1670,28.2,5.2,135.83333,0
00:00:00 14/01/2010,0,0.5,1694,28.1,5.6,298.66667,13
00:00:00 15/01/2010,0,0.475,1672,27.7,6.2,125.54167,1
00:00:00 16/01/2010,0,0.461,1611,27.2,6.5,113.29167,0
00:00:00 17/01/2010,0,0.453,1553,27.6,6.6,120.16667,0
00:00:00 18/01/2010,0,0.446,1505,27.7,6.7,141.54167,0
00:00:00 19/01/2010,0,0.44,1456,27.9,6.7,194.08333,4
00:00:00 20/01/2010,0,0.435,1432,27.2,6.8,226.33333,0
00:00:00 21/01/2010,0,0.432,1407,27.7,6.8,332.125,0
00:00:00 22/01/2010,0,0.429,1380,27.3,6.8,162.25,6
00:00:00 23/01/2010,0,0.427,1361,27.2,6.8,243,0
00:00:00 24/01/2010,0,0.426,1338,26.9,6.8,184.66667,4
00:00:00 25/01/2010,0,0.425,1313,26.8,6.8,209.5,0
00:00:00 26/01/2010,0,0.425,1304,27.1,6.8,147.41667,0
00:00:00 27/01/2010,0,0.424,1293,27.5,6.8,267.75,0
00:00:00 28/01/2010,0,0.423,1274,27.6,6.9,176.79167,0
00:00:00 29/01/2010,0,0.423,1259,27,6.9,129.25,0
00:00:00 30/01/2010,1,0.423,1233,27.2,6.8,99.54167,0
00:00:00 31/01/2010,15,0.436,1206,25.9,6.9,154.41667,0
00:00:00 01/02/2010,76,3.045,660,24.9,7.2,367.95833,0
00:00:00 02/02/2010,5,4.83,236,24,7.5,260.70833,0
00:00:00 03/02/2010,1,2.768,294,23.9,6.9,171.41667,0
00:00:00 04/02/2010,2,2.27,339,24.5,6.6,315.66667,0
00:00:00 05/02/2010,0,1.948,355,25.7,6.6,361.125,0
00:00:00 06/02/2010,0,1.883,339,26.4,6.6,326.95833,0
00:00:00 07/02/2010,7,2.143,345,26.5,6.7,574.70833,0
00:00:00 08/02/2010,13,2.378,262,25.7,7.1,328.20833,0
00:00:00 09/02/2010,0,2.036,279,26,7.3,189.45833,0 
00:00:00 10/02/2010,0,1.454,336,26.7,7,173.41667,0 
00:00:00 11/02/2010,0,1.22,378,26.7,7,216.95833,0 
00:00:00 12/02/2010,0,1.104,405,27.4,6.9,168.5,0 
00:00:00 13/02/2010,0,0.993,437,27.7,6.9,169.75,0 
00:00:00 14/02/2010,6,0.907,464,28.1,6.9,167.25,0 
00:00:00 15/02/2010,1,0.853,479,28.8,6.9,136.91667,0 
00:00:00 16/02/2010,45,1.891,360,28.1,7.3,223.66667,0 
00:00:00 17/02/2010,57,2.671,305,26,7.2,267.16667,0 
00:00:00 18/02/2010,15,2.213,284,25.8,7.2,260.70833,0 
00:00:00 19/02/2010,1,2.592,302,25.3,7.1,340.16667,0 
00:00:00 20/02/2010,0,1.734,330,25.4,7.1,297.45833,0 
00:00:00 21/02/2010,0,1.409,384,25.9,6.9,223.875,0 
00:00:00 22/02/2010,0,1.228,422,26.7,6.7,152.66667,0 
00:00:00 23/02/2010,0,1.103,450,28.2,6.7,163.08333,0 
00:00:00 24/02/2010,0,1.007,484,29.1,6.8,162.5,0 
00:00:00 25/02/2010,0,0.938,523,27.7,6.8,148.75,0 
00:00:00 26/02/2010,0,0.9,551,26.8,6.8,196.79167,0 
00:00:00 27/02/2010,0,0.848,564,27.3,6.9,330.75,0 
00:00:00 28/02/2010,0,0.799,583,27.8,6.9,578.16667,0 
00:00:00 01/03/2010,0,0.946,488,27.8,7.2,506.29167,0 
00:00:00 02/03/2010,30,1.047,519,27.7,7.4,432.25,0 
00:00:00 03/03/2010,1,1.816,347,26.6,7.5,479.75,0 
00:00:00 04/03/2010,0,1.181,401,27.4,7,383.375,0 
00:00:00 05/03/2010,0,1.024,469,27.4,7,406.70833,0 
00:00:00 06/03/2010,0,0.984,506,28.4,6.9,502.75,0 
00:00:00 07/03/2010,5,0.92,523,28.6,7,479.125,0 
00:00:00 08/03/2010,0,1.198,818,28.2,6,345.45833,0 
00:00:00 09/03/2010,0,1.087,597,28,6.6,248.75,0 
00:00:00 10/03/2010,0,1.081,499,28.2,7.2,184.54167,0 
00:00:00 11/03/2010,1,1.023,586,28.3,7.2,148.375,0 
00:00:00 12/03/2010,0,0.918,536,27.3,7.3,126.45833,0 
00:00:00 13/03/2010,0,0.851,539,26.4,7.3,129.125,0 
00:00:00 14/03/2010,0,0.806,547,26,7.4,120.20833,0 
00:00:00 15/03/2010,0,0.763,550,26.4,7.3,104.375,0 
00:00:00 16/03/2010,0,0.732,555,26.6,7.3,98.66667,0 
00:00:00 17/03/2010,0,0.697,565,26.6,7.2,99.58333,0 
00:00:00 18/03/2010,0,0.672,563,26.2,7.2,114.625,0 
00:00:00 19/03/2010,0,0.654,561,26.2,7.3,79.04167,0 
00:00:00 20/03/2010,0,0.642,552,25.7,7.3,70.79167,0 
00:00:00 21/03/2010,45,1.07,512,25.4,7.4,113,0 
00:00:00 22/03/2010,28,3.677,324,24.3,6.8,220.79167,0 
00:00:00 23/03/2010,0,2.137,359,24.7,6.1,255.625,0 
00:00:00 24/03/2010,0,1.55,403,25.6,6.2,181.79167,0 
00:00:00 25/03/2010,0,1.286,456,25.8,6.3,187.83333,0 
00:00:00 26/03/2010,0,1.138,499,26,6.3,248.875,0 
00:00:00 27/03/2010,0,1.043,546,26.3,6.2,298.04167,0 
00:00:00 28/03/2010,9,0.987,579,25.7,6.3,361.29167,0 
00:00:00 29/03/2010,0,1.027,602,25.8,6.2,195.79167,0 
00:00:00 30/03/2010,0,0.94,636,26,6.2,145.54167,0 
00:00:00 31/03/2010,0,0.874,620,26.3,6.3,111.29167,0 
00:00:00 01/04/2010,0,0.833,622,26,6.5,103.5,0 
00:00:00 02/04/2010,0,0.8,629,26.6,6.7,94.04167,0 
00:00:00 03/04/2010,0,0.769,644,26.5,6.8,87.75,0 
00:00:00 04/04/2010,0,0.742,651,26.5,6.8,73.22917,0 
00:00:00 05/04/2010,0,0.719,655,26.2,6.9,67.3125,7 
00:00:00 06/04/2010,0,0.696,654,25.7,7,72.29167,0 
00:00:00 07/04/2010,0,0.678,658,25.6,7.1,85.625,1 
00:00:00 08/04/2010,0,0.666,654,26.1,7.1,79.29167,0 
00:00:00 09/04/2010,0,0.658,660,26.7,7.1,85.29167,0 
00:00:00 10/04/2010,2,0.65,674,27.3,7.2,115.45833,0 
00:00:00 11/04/2010,2,0.643,682,27.8,7.2,135.83333,0 
00:00:00 12/04/2010,2,0.759,670,27.6,7.2,165.75,0 
00:00:00 13/04/2010,0,0.708,642,25.8,7.2,110.41667,0 
00:00:00 14/04/2010,0,0.664,664,25.8,7.2,127.75,1 
00:00:00 15/04/2010,0,0.637,660,25.6,7.2,689.66667,0 
00:00:00 16/04/2010,0,0.621,672,25.2,7.2,711.41667,0 
00:00:00 17/04/2010,0,0.609,674,25.4,7.2,402.08333,0 
00:00:00 18/04/2010,0,0.601,662,25.1,7.2,354.625,0 
00:00:00 19/04/2010,0,0.599,669,24.8,7.3,307.375,0 
00:00:00 20/04/2010,0,0.597,676,25.1,7.3,351.20833,0 
00:00:00 21/04/2010,0,0.596,688,25.1,7.3,309.66667,0 
00:00:00 22/04/2010,0,0.595,691,25.1,7.3,277.25,0 
00:00:00 23/04/2010,0,0.595,701,24.8,7.3,279.75,0 
00:00:00 24/04/2010,0,0.593,717,25.1,7.3,271.70833,1 
00:00:00 25/04/2010,0,0.59,720,25.6,7.2,285.29167,0 
00:00:00 26/04/2010,0,0.585,722,25.1,7.2,357.41667,0 
00:00:00 27/04/2010,0,0.582,718,24.5,7.3,311.5,0 
00:00:00 28/04/2010,0,0.579,709,24.7,7.3,260.54167,0 
00:00:00 29/04/2010,0,0.576,709,24.8,7.2,266.20833,0 
00:00:00 30/04/2010,0,0.573,712,24.8,7.3,164.75,0 
00:00:00 01/05/2010,0,0.569,713,24.6,7.3,133.83333,5 
00:00:00 02/05/2010,0,0.565,712,24.4,7.2,122.125,0 
00:00:00 03/05/2010,0,0.561,714,24.1,7.2,158.16667,0 
00:00:00 04/05/2010,0,0.557,709,23.9,7.2,161.08333,0 
00:00:00 05/05/2010,0,0.553,703,23.9,7.2,180.20833,0 
00:00:00 06/05/2010,0,0.546,701,23.3,7.3,154.20833,0 
00:00:00 07/05/2010,0,0.541,708,21.7,7.3,147.875,1 
00:00:00 08/05/2010,0,0.54,706,21.8,7.3,171.75,4 
00:00:00 09/05/2010,0,0.538,705,22.6,7.3,161.25,0 
00:00:00 10/05/2010,0,0.534,711,22.4,7.3,171.125,0 
00:00:00 11/05/2010,0,0.53,719,22.7,7.3,172.5,0 
00:00:00 12/05/2010,0,0.525,718,22.7,7.3,164.33333,0 
00:00:00 13/05/2010,0,0.518,719,21.6,7.2,148.16667,5 
00:00:00 14/05/2010,0,0.515,732,20.1,7.2,111.54167,2 
00:00:00 15/05/2010,0,0.513,732,19.8,7.2,130.66667,0 
00:00:00 16/05/2010,0,0.512,725,20.3,7.2,124.70833,0 
00:00:00 17/05/2010,1,0.514,717,20.7,7.2,116.875,0 
00:00:00 18/05/2010,0,0.51,704,20.8,7.2,140.79167,0 
00:00:00 19/05/2010,0,0.501,703,19.9,7.3,154.58333,0 
00:00:00 20/05/2010,0,0.5,718,19.7,7.2,166.79167,0 
00:00:00 21/05/2010,1,0.507,716,20.9,7.2,188.04167,0 
00:00:00 22/05/2010,0,0.508,692,21.5,7.2,206.70833,0 
00:00:00 23/05/2010,0,0.498,690,20.5,7.2,191.91667,0 
00:00:00 24/05/2010,0,0.497,707,20.2,7.2,208.375,0 
00:00:00 25/05/2010,0,0.507,707,20.7,7.2,226.16667,0 
00:00:00 26/05/2010,0,0.518,660,21.5,7.3,130.85243,0 
00:00:00 27/05/2010,0,0.5,661,20.4,7.3,25.35417,1 
00:00:00 28/05/2010,0,0.498,696,19.9,7.3,39.95833,27 
00:00:00 29/05/2010,2,0.508,706,20.4,7.3,62.83333,0 
00:00:00 30/05/2010,0,0.514,703,19.9,7.3,84.14583,1 
00:00:00 31/05/2010,0,0.513,826,19.1,7.3,67.875,0 
00:00:00 01/06/2010,0,0.511,892,18.9,7.3,67.10417,0 
00:00:00 02/06/2010,0,0.508,893,19,7.2,80.85417,0 
00:00:00 03/06/2010,0,0.506,881,19.1,7.2,94.47257,0 
00:00:00 04/06/2010,0,0.504,868,19.2,7.2,97.64583,0
00:00:00 05/06/2010,0,0.502,855,19,7.2,104.625,0
00:00:00 06/06/2010,0,0.5,857,18.8,7.2,111.58333,0
00:00:00 07/06/2010,0,0.499,865,18.4,7.2,114.625,1
00:00:00 08/06/2010,0,0.498,877,18,7.2,85.85417,0
00:00:00 09/06/2010,0,0.498,878,18.9,7.2,86.5,0
00:00:00 10/06/2010,0,0.497,866,18.7,7.2,97.6875,0
00:00:00 11/06/2010,0,0.497,865,17.7,7.2,104,0
00:00:00 12/06/2010,0,0.497,869,17.6,7.2,99.79167,0
00:00:00 13/06/2010,0,0.496,862,17.4,7.2,110.52083,0
00:00:00 14/06/2010,1,0.496,868,18.4,7.2,136.4375,0 
00:00:00 15/06/2010,1,0.496,857,19.6,7.2,164.3125,0
00:00:00 16/06/2010,0,0.496,840,19.5,7.2,157.33333,0
00:00:00 17/06/2010,0,0.496,852,19.4,7.2,136.79167,0
00:00:00 18/06/2010,0,0.496,859,19.7,7.2,142.9375,0
00:00:00 19/06/2010,0,0.496,865,19.6,7.2,153.89236,0
00:00:00 20/06/2010,0,0.496,880,18.7,7.2,206.47917,14 
00:00:00 21/06/2010,0,0.496,907,18.1,7.2,292.4375,0 
00:00:00 22/06/2010,0,0.496,958,18.4,7.2,227.35417,0
00:00:00 23/06/2010,0,0.495,997,19.6,7.1,215.85417,0 
00:00:00 24/06/2010,4,0.495,1003,19.6,7.1,219.79167,0
00:00:00 25/06/2010,0,0.495,1004,19.9,7.1,219.72917,6
00:00:00 26/06/2010,0,0.493,1004,19.4,7.1,281.79167,20
00:00:00 27/06/2010,0,0.492,990,19.3,7.1,310.75,0 
00:00:00 28/06/2010,0,0.491,990,19.6,7.1,246.60417,0 
00:00:00 29/06/2010,0,0.49,990,19.6,7.2,180.04167,7 
00:00:00 30/06/2010,0,0.489,989,19.9,7.2,218.64583,0 
00:00:00 01/07/2010,0,0.488,989,20.3,7.2,156.47917,8 
00:00:00 02/07/2010,2,0.487,988,19.9,7.1,181.3316,0
00:00:00 03/07/2010,0,0.486,988,19.2,7.1,181.45833,8
00:00:00 04/07/2010,0,0.486,989,18,7.2,152.27083,0
00:00:00 05/07/2010,0,0.485,993,18,7.2,174.125,0
00:00:00 06/07/2010,0,0.485,1002,18.6,7.2,168.14583,0
00:00:00 07/07/2010,0,0.484,1012,19.4,7.2,183.58333,0
00:00:00 08/07/2010,8,0.489,1021,18.1,7.2,225.55729,0
00:00:00 09/07/2010,0,0.49,1031,18.4,7.1,264.375,0
00:00:00 10/07/2010,0,0.489,1044,18.7,7.1,290,2
00:00:00 11/07/2010,0,0.487,1047,18.6,7.2,313.5,0
00:00:00 12/07/2010,0,0.485,1046,18.9,7.2,288.875,0
00:00:00 13/07/2010,0,0.483,1050,19.1,7.1,270.85417,0
00:00:00 14/07/2010,0,0.482,1058,19.1,7.2,279.27083,5
00:00:00 15/07/2010,0,0.481,1056,18.9,7.2,264.79167,0
00:00:00 16/07/2010,0,0.481,1061,17.7,7.2,317.9375,0
00:00:00 17/07/2010,0,0.48,1068,17.3,7.2,475.25,11
00:00:00 18/07/2010,0,0.48,1068,17.8,7.2,434.77083,0
00:00:00 19/07/2010,0,0.479,1065,18.4,7.2,237.0625,11
00:00:00 20/07/2010,0,0.479,1060,19.4,7.2,278.08333,2
00:00:00 21/07/2010,0,0.479,1063,18.1,7.2,455.33333,0
00:00:00 22/07/2010,0,0.479,1071,16.5,7.1,626,0
00:00:00 23/07/2010,0,0.478,1071,16,7.1,541.3125,11
00:00:00 24/07/2010,0,0.478,1066,16.4,7.1,645.16667,0
00:00:00 25/07/2010,0,0.478,1053,17.5,7.1,691.5625,0
00:00:00 26/07/2010,0,0.478,1044,18.4,7,893.02083,0
00:00:00 27/07/2010,0,0.478,1038,18.7,7,637.60451,0
00:00:00 28/07/2010,0,0.477,1032,19.2,6.9,541.60417,20
00:00:00 29/07/2010,0,0.477,1027,19.6,6.9,507.54167,33
00:00:00 30/07/2010,0,0.477,1023,19.9,6.9,497,0
00:00:00 31/07/2010,0,0.477,1021,20.3,6.9,775.5625,0
00:00:00 01/08/2010,0,0.477,1018,20.5,6.9,866.35417,58
00:00:00 02/08/2010,0,0.477,1012,20,7,857,0
00:00:00 03/08/2010,0,0.477,1010,18.1,7.1,849.14583,0
00:00:00 04/08/2010,0,0.477,1013,17.2,7.1,981.97917,0
00:00:00 05/08/2010,0,0.478,1013,17.2,7.1,953.125,30
00:00:00 06/08/2010,0,0.478,1006,18.1,7.1,998.85417,10
00:00:00 07/08/2010,0,0.479,1005,17.1,7.2,940.79167,0
00:00:00 08/08/2010,0,0.479,1007,16.2,7.2,893.10417,39
00:00:00 09/08/2010,0,0.48,1004,16.9,7.2,1033.70833,0
00:00:00 10/08/2010,0,0.484,993,18.7,7.1,1061.65069,2
00:00:00 11/08/2010,0,0.501,950,18.9,7.2,966.01875,0
00:00:00 12/08/2010,0,0.525,1083,17.8,7.1,1151.64583,0
00:00:00 13/08/2010,0,0.546,1958,17.3,6.3,1108.875,0
00:00:00 14/08/2010,0,0.52,1234,16.8,7,623.45833,0
00:00:00 15/08/2010,0,0.505,1150,17.3,7.1,54.16667,0
00:00:00 16/08/2010,0,0.496,1800,18.1,6.6,49.14583,0
00:00:00 17/08/2010,0,0.491,1714,17.9,6.7,64.52083,0
00:00:00 18/08/2010,0,0.488,1622,18.4,6.8,218.20833,1
00:00:00 19/08/2010,0,0.486,1525,19.5,6.9,92.70833,4
00:00:00 20/08/2010,0,0.485,1511,20,6.8,117.83333,0
00:00:00 21/08/2010,0,0.484,1518,19.9,6.8,107.41667,32
00:00:00 22/08/2010,0,0.483,1517,19.7,6.8,105.97917,0
00:00:00 23/08/2010,0,0.482,1500,20.1,6.8,136.54167,4 
